Vis,Frec,X,Y,Z,Formato
Alta,Alta,-70.3489434846837,-27.3576751645089,364.350443024841,1
Alta,Alta,-70.3461706366722,-27.3607171775379,368.516794841751,1
Alta,Media,-70.3479870814793,-27.3534976150001,361.877821368833,1
Alta,Baja,-70.3484702737283,-27.34315594716,358.542453793697,1
Alta,Alta,-70.3518990007604,-27.3528445201901,359.714284198645,0
Alta,Baja,-70.3429773637647,-27.3594555594085,374.495796820958,1
Alta,Media,-70.3456072203487,-27.3582068788668,367.734996449311,1
Alta,Baja,-70.3484702737283,-27.34315594716,358.542453793697,1
Alta,Alta,-70.3474640621512,-27.3530734023181,361.984855860777,1
Alta,Media,-70.3515040886134,-27.3484752844948,357.458280268837,0
Alta,Alta,-70.3511025780894,-27.3504783186123,358.477986567188,1
Baja,Baja,-70.3468806980561,-27.3474110996223,370.550707521726,1
Alta,Baja,-70.3502484172253,-27.3542175463991,361.629460607515,1
Alta,Alta,-70.3488486431466,-27.3586999222085,365.040378832773,1
Baja,Baja,-70.3459591271942,-27.3581609687253,367.443977897792,1
Media,Alta,-70.3467575767537,-27.3577354654432,366.959482926628,1
Alta,Media,-70.3509319927173,-27.3438493689844,357.008407329015,1
